Entity,Year,Fruit,Veg,Fish,Milk,Egg,Meat_other,Mutton_Goat,Beef_Buffalo,Pigmeat,Poultry
North Korea,1995,53.7,137.81,15.09,3.71,3.25,0,0.21,1.98,5.35,1.09
Norway,1995,97.59,60.09,50.53,263.85,10.53,1.54,6.3,19.87,23.2,6.81
Peru,1995,68.44,33.61,22.63,50.82,3.46,1.41,0.84,3.58,2.72,10.17
Philippines,1995,101.43,63.45,31.59,21.65,3.12,0.19,0.44,2.94,13.95,6.07
Poland,1995,41.69,134.28,10.6,194.85,8.58,0.25,0.14,10.22,48.36,10.28
Samoa,1995,135.46,6.93,40.7,24.97,1.11,0.5,20.12,7.83,19.13,18.78
Saudi Arabia,1995,95.68,132.54,6.38,69.55,5.15,2.29,7.27,5.14,0,30.43
Spain,1995,90.88,149.24,42.07,161.95,13.93,3.2,6.41,13.51,53.09,25.1
Sweden,1995,82.16,64.71,27.83,346.77,11.31,2.5,0.69,17.54,35.86,8.17
Thailand,1995,93.25,44.57,31.16,25.75,10.12,0,0.02,6.06,9.23,13.67
Turkey,1995,112.32,242.68,10.12,147.28,8.35,0.05,6.31,5.88,0,8.57
Uganda,1995,220.6,20.81,8.44,21.66,0.63,0.85,1.24,4.17,3.2,1.76
United Kingdom,1995,78.86,76.94,19.23,216.01,9.92,0.18,6.65,17.39,23.94,25.34
United States,1995,111.16,122.85,21.96,259.95,13.42,0.78,0.59,43.19,30.03,43.54
Vietnam,1995,47.65,51.38,16,3.82,1.59,0.22,0.05,2.37,13.16,2.3
Afghanistan,1980,31.99,34.56,0.07,59.34,0.86,1.05,11.07,5.08,0,0.91
Angola,1980,48.49,27.22,8.52,40.32,0.38,0.79,0.52,9.12,2.85,1.14
Argentina,1980,100.69,78.07,6.01,177.88,8.7,1.2,3.8,85.04,9.48,11.2
Australia,1980,89.56,68.28,13.98,213.89,11.45,2.64,20.08,52.57,14.61,20.76
Austria,1980,122.36,87.96,6.32,243.62,14.47,1.07,0.54,26.11,56.3,10.73
Bangladesh,1980,14.42,11.91,7.71,12.38,0.6,0.1,0.3,1.49,0,0.64
Barbados,1980,64.02,49.81,27.11,114.82,6.01,0,4.26,14.22,29.55,31.02
Brazil,1980,94.25,30.1,6.59,85.82,5.57,0.08,0.42,22.48,7.95,10.07
Cambodia,1980,16.92,42.99,2.94,6.76,1.04,0,0,2.03,0.78,0.87
Canada,1980,116.58,96.35,20.56,206.59,12.72,0.07,0.78,40.26,34.59,22.08
Caribbean,1980,115.31,42.29,12.63,98.53,5.32,2.25,0.53,10.5,4.79,10.79
Chad,1980,18.04,11.57,3.77,32.08,0.68,0.8,4.34,7.35,0.04,0.67
China,1980,7.29,50.41,5.17,2.98,2.63,0.17,0.45,0.36,11.93,1.67
Congo,1980,57.01,17.28,27.28,8.3,0.47,5.68,0.33,3.63,0.73,1.98
Costa Rica,1980,77.84,19.87,6.97,139.03,6.92,0,0.01,21.64,4.33,4.27
Cuba,1980,58.34,42.75,17.74,150.52,9.6,4.27,0.17,14.9,4.69,9.43
Egypt,1980,43.01,145.83,4.53,37.97,1.3,0.75,1.15,6.97,0.06,3.8
Fiji,1980,18.78,14.94,36.42,47.39,2.84,0.76,6.08,13.02,3.59,4.58
France,1980,63.38,114.85,24.82,269.83,14.35,10.85,3.82,32.7,37.46,16.04
Germany,1980,103.06,66.72,11.37,195.16,17.07,1.31,0.9,23.04,60.05,9.66
Greece,1980,122.61,240.8,16,198.78,10.93,1.34,12.81,21.73,15.48,13.53
Haiti,1980,126.02,44.99,3.53,16.16,0.52,1.36,0.64,4.23,3.9,1.03
Hungary,1980,67.66,92.1,3.92,167.16,18.17,1.21,0.41,19.6,69.78,17.92
Iceland,1980,61.6,25.49,85.39,331.26,11.21,6.88,44.11,9.65,4.61,3.13
India,1980,25.26,47.56,3.1,38.02,0.73,0.14,0.65,2.33,0.37,0.19
Indonesia,1980,26.37,16.17,12.07,7.26,1.49,0.02,0.37,1.8,1.21,1.22
Iran,1980,68.44,112.35,1.05,69.19,4.34,0.42,8.61,6.18,0,5.75
Israel,1980,139.88,150.52,19.07,179.23,20.01,0.05,1.02,13.07,2.48,35.33
Italy,1980,112.7,169.89,14.78,250.79,11.4,4.88,1.43,26.22,24.85,18.13
Jamaica,1980,115.34,47.8,17.72,82.82,6.77,0.23,0.68,7.44,4.02,25.43
Japan,1980,55.61,122.61,65.03,68.2,16.55,0.97,0.67,4.97,13.46,10.11
Kenya,1980,57.1,25.45,2.99,73.6,0.93,1.35,2.18,11.76,0.21,1.98
Malaysia,1980,57.35,24.94,42.86,42.28,9.29,0.49,0.48,2.32,9.87,10.08
Mexico,1980,90.33,40.69,10.05,128.77,7.91,0.63,0.76,10.57,17.78,6.33
Mongolia,1980,4.69,11.28,1.2,83.16,0.59,22.9,56.8,31.57,0.59,0.18
Morocco,1980,32.17,53.12,7.55,32.56,3.24,0.15,3.59,5.6,0.03,2.73
New Zealand,1980,82.4,95.63,14.5,218.4,15.72,0.68,31.27,57.44,11.51,9.64
Nigeria,1980,62.76,38.89,13.35,14.43,2.5,1.36,1.18,5.36,0.52,1.8
North Korea,1980,43.07,131.21,32.69,2.95,5.62,0,0.21,1.77,9.5,2.08
Norway,1980,85.26,61.6,43.49,324.88,10.44,1.83,5.45,20,21.74,3.08
Peru,1980,50.49,27.09,26.91,62.2,2.57,1.88,1.38,3.73,2.52,4.87
Philippines,1980,116.45,69.4,32.43,20.04,5.14,0.23,0.3,2.8,8.72,4.77
Poland,1980,38.95,103.22,11.35,252.15,12.31,0.44,0.49,20.16,44.33,11.21
Samoa,1980,241.33,6.07,35.69,14.67,0.8,6.66,8.62,5.66,10.62,9.88
Saudi Arabia,1980,120.1,109.11,8.25,111.32,5.35,3.92,6.31,6.29,0,23.87
Spain,1980,90.12,175.19,32.3,159.54,15.78,2.45,4.83,11.42,31.1,20.58
Sweden,1980,80.67,47.69,27.03,376.86,12.48,2.93,0.67,18.73,36.09,5.18
Thailand,1980,122.73,52.27,17.03,7.68,7.02,0,0.01,5.81,5.64,6.91
Turkey,1980,135.48,191.13,7.38,175.81,4.07,0.05,6.52,3.21,0.01,5.69
Uganda,1980,181.78,20.7,13.21,27.03,0.63,1.16,1.31,6.86,0.67,1.61
United Kingdom,1980,58.38,78.1,16.02,222.48,13.77,0.27,7.61,22.74,26.42,13.6
United States,1980,110.44,102.25,15.54,238.39,15.62,0.97,0.69,47.32,32.95,26.38
Vietnam,1980,42.28,40.52,10.15,1.59,0.9,0.08,0.02,1.87,5.31,1.75
Afghanistan,1965,48.69,40.+I2:I78283,0.03,68.62,1.1,1.06,8.64,4.99,0,0.7
Angola,1965,51.97,30.07,10.52,26.57,0.37,0.92,0.35,4.51,1.67,0.63
Argentina,1965,68.87,81.09,6.64,148.22,6.27,1,6.55,66.96,9.45,5.73
Australia,1965,83.12,63.25,12.78,248.57,12,2.12,38.71,52.16,10.8,6.31
Austria,1965,101.5,75.47,7.75,219.86,13.2,1.06,0.37,18.5,43.88,6.35
Bangladesh,1965,22.26,15.98,10.38,13.4,0.52,0.08,0.58,2.23,0,0.65
Barbados,1965,38.99,13.88,22.03,106.56,2.12,0.25,1.73,20.14,25.64,5
Brazil,1965,79.39,24.16,5.1,74.59,2.98,0.54,0.64,16.79,6.97,2.65
Cambodia,1965,38.05,59.86,6.85,3.6,0.7,0,0,2.35,3.61,0.89
Canada,1965,88.12,83.82,13.26,234.33,14.25,0.02,1.33,43.14,25.12,16.39
Caribbean,1965,105.31,29.42,9.8,64.88,3.06,0.74,0.53,12.51,4.55,4.09
Chad,1965,18.34,11.3,3.02,41.47,0.57,1.05,3.19,9.65,0.04,0.44
China,1965,4.64,58.31,4.91,2.42,2.03,0.13,0.22,0.25,7.45,1.12
Congo,1965,46.25,15.29,24.48,3.85,0.24,6.66,0.2,2.87,0.94,0.87
Costa Rica,1965,88.64,18.54,2.52,89.75,5.7,0,0.01,18,3.95,1.56
Cuba,1965,42.65,32.43,9.46,92.92,4.75,0.98,0.14,21.17,4.12,3.77
Egypt,1965,33.82,130.2,3.45,30,1.12,0.97,1.33,5.9,0.03,2.31
Fiji,1965,12.13,12.26,16.81,69.54,2.11,0.74,3.45,7.21,2.16,0.64
France,1965,73.26,143.14,20.49,215.95,10.85,9.8,2.4,28.02,28.5,12.48
Germany,1965,85.49,48.63,11.08,178.98,12.8,0.92,0.51,19.99,40.28,5.72
Greece,1965,128.65,145.85,18.14,133.06,9.08,0.95,12.57,11.32,5.49,4.31
Haiti,1965,114.75,40.3,1.3,10.81,0.35,0.86,0.79,3.44,4.34,0.6
Hungary,1965,49.62,84.04,3.03,112.37,10.54,0.68,0.98,18.83,50.22,10.99
Iceland,1965,50.13,13.48,65.99,380.53,5.8,7.8,48.52,14.06,1.72,1.3
India,1965,26.13,39.66,2.5,32.57,0.36,0.11,0.78,2.29,0.3,0.17
Indonesia,1965,23.58,17.24,10.49,2.29,0.44,0.01,0.36,1.72,1.15,0.58
Iran,1965,43.86,65.02,0.48,50.03,2.52,0.56,6.89,3.43,0.05,1.86
Israel,1965,153.38,156.13,16.48,150.22,21.25,0.11,1.22,16.2,1.27,22.67
Italy,1965,112.52,153.85,14.06,153.38,9.75,2.27,0.8,18.34,9.59,10.04
Jamaica,1965,115.1,23.34,31.41,56.32,2.55,0.81,1.46,9.9,4.04,4.38
Japan,1965,39,119.56,51.55,38.51,13.09,2.42,0.56,2.31,4.09,2.12
Kenya,1965,47.18,27.56,2.71,70.42,0.87,1.65,3.31,11.1,0.17,0.99
Malaysia,1965,59.26,18.96,20.01,32.41,4.35,0.64,0.39,2.05,6.29,4.89
Mexico,1965,78.82,29.32,3.13,50.21,3.85,0.89,0.72,10.2,9.44,3.89
Mongolia,1965,2.42,10.29,0.26,108.7,0.24,35.05,53.57,33.05,0.45,0.33
Morocco,1965,26.93,45.56,2.42,26.43,2.34,0.36,4.09,5.14,0.08,1.89
New Zealand,1965,64.92,94.48,18.27,166.62,16.94,0.77,40.67,42.35,15.52,3.5
Nigeria,1965,64.17,48.05,4.65,4.54,1.61,1.59,0.35,3.66,0.48,0.79
North Korea,1965,10.37,90.4,30.79,0.38,3.38,0,0.12,1.63,4.38,1.42
Norway,1965,72.08,47.55,43.17,256.8,8.57,2.9,4.62,14.47,15.6,0.9
Peru,1965,87.34,41.07,8.12,73.91,1.38,3.33,3.49,6.95,3.79,3.35
Philippines,1965,90.16,64.86,25.79,15.26,2.65,0.25,0.08,2.92,9.42,2.65
Poland,1965,23.29,97.76,8.93,226.34,9.09,0.36,0.61,11.75,34.79,2.17
Samoa,1965,197.55,3.91,29.13,11.39,0.76,0,0,17.21,9.07,2.77
Saudi Arabia,1965,52.03,58.08,3.88,32.02,0.69,2.29,4.44,1.14,0,1.04
Spain,1965,59.64,148.83,29.32,91.67,9.64,1.46,4.14,7.91,9.12,7.41
Sweden,1965,72.38,35.99,25.65,288.43,11.24,2.58,0.29,18.33,26.85,2.87
Thailand,1965,72.79,43,14,2.87,8.66,0,0.01,6.91,4.72,4.05
Turkey,1965,125,155.05,3.75,170.79,2.07,0.22,9.25,3.7,0.01,2.3
Uganda,1965,140.75,21.95,9.47,28.12,0.67,1.12,1.18,7.44,0.24,1.49
United Kingdom,1965,58.7,64.45,21.96,233.15,14.48,1.13,10.72,22.09,28.81,7.27
United States,1965,76.2,90.63,12.85,254.18,17.66,1.12,1.58,47,25.98,18.08
Vietnam,1965,36.23,46.17,17.68,2.75,1.56,0.06,0.03,1.98,7.16,1.87
