,buying,maint,doors,persons,lug_boot,safety,rating
21,vhigh,vhigh,2,more,med,low,vgood
21,med,med,3,more,med,high,acc
21,med,high,5more,4,big,high,acc
21,low,low,4,more,big,med,acc
21,vhigh,vhigh,2,more,med,low,acc
21,med,med,3,more,med,high,good
21,med,high,5more,4,big,high,good
21,low,low,4,more,big,med,good
21,vhigh,vhigh,2,more,med,low,good
21,med,med,3,more,med,high,unacc
21,med,high,5more,4,big,high,unacc
21,low,low,4,more,big,med,unacc
21,vhigh,vhigh,2,more,med,low,unacc
22,med,low,4,4,med,high,vgood
22,high,low,3,more,med,med,vgood
22,med,low,4,4,med,high,acc
22,high,low,3,more,med,med,acc
23,low,low,4,4,med,high,vgood
23,low,high,3,more,small,med,vgood
23,low,med,3,more,med,med,vgood
23,low,low,4,4,med,high,acc
23,low,high,3,more,small,med,acc
23,low,med,3,more,med,med,acc
23,low,low,4,4,med,high,good
23,low,high,3,more,small,med,good
23,low,med,3,more,med,med,good
24,med,low,5more,4,med,high,vgood
24,low,vhigh,2,more,big,med,vgood
24,vhigh,vhigh,2,more,big,low,vgood
24,med,low,5more,4,med,high,acc
24,low,vhigh,2,more,big,med,acc
24,vhigh,vhigh,2,more,big,low,acc
24,med,low,5more,4,med,high,unacc
24,low,vhigh,2,more,big,med,unacc
24,vhigh,vhigh,2,more,big,low,unacc
25,med,low,5more,more,big,high,vgood
25,med,low,4,4,big,med,vgood
25,vhigh,vhigh,2,more,big,med,vgood
25,med,low,5more,more,big,high,good
25,med,low,4,4,big,med,good
25,vhigh,vhigh,2,more,big,med,good
25,med,low,5more,more,big,high,unacc
25,med,low,4,4,big,med,unacc
25,vhigh,vhigh,2,more,big,med,unacc
26,low,high,5more,4,med,high,vgood
26,low,low,3,more,big,med,vgood
26,vhigh,vhigh,2,more,big,high,vgood
26,low,high,5more,4,med,high,good
26,low,low,3,more,big,med,good
26,vhigh,vhigh,2,more,big,high,good
26,low,high,5more,4,med,high,unacc
26,low,low,3,more,big,med,unacc
26,vhigh,vhigh,2,more,big,high,unacc
27,vhigh,med,5more,4,med,high,acc
28,high,low,3,more,big,med,acc
28,vhigh,vhigh,3,2,small,med,acc
28,low,low,4,4,med,high,acc
28,high,low,3,more,big,med,unacc
28,vhigh,vhigh,3,2,small,med,unacc
28,low,low,4,4,med,high,unacc
28,high,low,3,more,big,med,vgood
28,vhigh,vhigh,3,2,small,med,vgood
28,low,low,4,4,med,high,vgood
29,high,med,4,4,med,high,acc
29,vhigh,vhigh,3,2,small,high,acc
29,low,low,4,4,big,high,acc
29,low,med,3,4,small,high,acc
29,high,med,4,4,med,high,unacc
29,vhigh,vhigh,3,2,small,high,unacc
29,low,low,4,4,big,high,unacc
29,low,med,3,4,small,high,unacc
29,high,med,4,4,med,high,vgood
29,vhigh,vhigh,3,2,small,high,vgood
29,low,low,4,4,big,high,vgood
29,low,med,3,4,small,high,vgood
29,high,med,4,4,med,high,good
29,vhigh,vhigh,3,2,small,high,good
29,low,low,4,4,big,high,good
29,low,med,3,4,small,high,good
30,low,low,3,4,small,high,good
30,high,high,2,more,med,high,good
30,low,high,4,more,med,high,good
30,low,low,3,4,small,high,acc
30,high,high,2,more,med,high,acc
30,low,high,4,more,med,high,acc
30,low,low,3,4,small,high,vgood
30,high,high,2,more,med,high,vgood
30,low,high,4,more,med,high,vgood
31,low,med,4,more,small,high,good
31,med,med,5more,more,big,high,good
31,med,high,5more,more,med,high,good
31,low,med,4,more,small,high,vgood
31,med,med,5more,more,big,high,vgood
31,med,high,5more,more,med,high,vgood
31,low,med,4,more,small,high,acc
31,med,med,5more,more,big,high,acc
31,med,high,5more,more,med,high,acc
32,low,med,4,more,med,med,good
32,vhigh,low,3,more,small,high,good
32,vhigh,vhigh,3,2,med,high,good
32,low,med,4,more,med,med,acc
32,vhigh,low,3,more,small,high,acc
32,vhigh,vhigh,3,2,med,high,acc
32,low,med,4,more,med,med,unacc
32,vhigh,low,3,more,small,high,unacc
32,vhigh,vhigh,3,2,med,high,unacc
33,high,high,3,4,big,med,acc
33,low,high,4,4,med,high,acc
33,high,high,3,4,big,med,vgood
33,low,high,4,4,med,high,vgood
34,vhigh,vhigh,3,2,big,med,unacc
34,med,med,4,more,med,high,unacc
34,low,low,5more,more,med,med,unacc
34,high,med,2,4,big,high,unacc
34,vhigh,vhigh,3,2,big,med,vgood
34,med,med,4,more,med,high,vgood
34,low,low,5more,more,med,med,vgood
34,high,med,2,4,big,high,vgood
34,vhigh,vhigh,3,2,big,med,good
34,med,med,4,more,med,high,good
34,low,low,5more,more,med,med,good
34,high,med,2,4,big,high,good
34,vhigh,vhigh,3,2,big,med,acc
34,med,med,4,more,med,high,acc
34,low,low,5more,more,med,med,acc
34,high,med,2,4,big,high,acc
35,vhigh,vhigh,3,2,big,high,unacc
35,low,med,5more,more,med,high,unacc
35,low,med,5more,more,small,high,unacc
35,vhigh,vhigh,3,2,big,high,vgood
35,low,med,5more,more,med,high,vgood
35,low,med,5more,more,small,high,vgood
35,vhigh,vhigh,3,2,big,high,good
35,low,med,5more,more,med,high,good
35,low,med,5more,more,small,high,good
36,vhigh,vhigh,3,4,small,low,unacc
36,low,vhigh,5more,4,med,med,unacc
36,low,low,5more,more,med,med,unacc
36,vhigh,vhigh,3,4,small,low,acc
36,low,vhigh,5more,4,med,med,acc
36,low,low,5more,more,med,med,acc
36,vhigh,vhigh,3,4,small,low,good
36,low,vhigh,5more,4,med,med,good
36,low,low,5more,more,med,med,good
37,low,low,3,more,big,med,good
37,med,low,3,more,big,high,good
37,med,vhigh,4,4,big,med,good
37,low,low,3,more,big,med,vgood
37,med,low,3,more,big,high,vgood
37,med,vhigh,4,4,big,med,vgood
37,low,low,3,more,big,med,acc
37,med,low,3,more,big,high,acc
37,med,vhigh,4,4,big,med,acc
38,low,high,3,4,small,high,acc
38,vhigh,vhigh,3,4,small,high,acc
38,low,high,2,4,big,high,acc
38,low,high,3,4,small,high,unacc
38,vhigh,vhigh,3,4,small,high,unacc
38,low,high,2,4,big,high,unacc
38,low,high,3,4,small,high,vgood
38,vhigh,vhigh,3,4,small,high,vgood
38,low,high,2,4,big,high,vgood
39,med,low,5more,more,med,high,vgood
39,med,vhigh,3,4,med,high,vgood
39,med,low,5more,more,med,high,acc
39,med,vhigh,3,4,med,high,acc
40,vhigh,vhigh,3,4,med,med,unacc
40,low,vhigh,3,more,med,med,unacc
40,low,med,3,more,big,med,unacc
40,vhigh,vhigh,3,4,med,med,acc
40,low,vhigh,3,more,med,med,acc
40,low,med,3,more,big,med,acc
40,vhigh,vhigh,3,4,med,med,good
40,low,vhigh,3,more,med,med,good
40,low,med,3,more,big,med,good
41,low,med,2,more,big,high,vgood
41,vhigh,low,3,4,big,high,vgood
41,low,med,2,more,big,high,acc
41,vhigh,low,3,4,big,high,acc
42,vhigh,vhigh,3,4,big,low,unacc
42,med,low,3,4,small,high,unacc
42,med,low,5more,4,small,med,unacc
42,vhigh,vhigh,3,4,big,low,good
42,med,low,3,4,small,high,good
42,med,low,5more,4,small,med,good
42,vhigh,vhigh,3,4,big,low,acc
42,med,low,3,4,small,high,acc
42,med,low,5more,4,small,med,acc
43,vhigh,vhigh,3,4,big,med,unacc
43,vhigh,low,3,4,big,med,unacc
43,vhigh,vhigh,3,4,big,med,acc
43,vhigh,low,3,4,big,med,acc
44,vhigh,vhigh,3,4,big,high,unacc
44,low,low,4,4,small,high,unacc
44,med,low,3,4,big,high,unacc
44,vhigh,vhigh,3,4,big,high,good
44,low,low,4,4,small,high,good
44,med,low,3,4,big,high,good
44,vhigh,vhigh,3,4,big,high,vgood
44,low,low,4,4,small,high,vgood
44,med,low,3,4,big,high,vgood
45,vhigh,med,2,more,med,high,acc
45,vhigh,vhigh,3,more,small,low,acc
45,med,low,5more,more,big,med,acc
45,low,high,3,more,big,high,acc
45,vhigh,med,2,more,med,high,unacc
45,vhigh,vhigh,3,more,small,low,unacc
45,med,low,5more,more,big,med,unacc
45,low,high,3,more,big,high,unacc
45,vhigh,med,2,more,med,high,good
45,vhigh,vhigh,3,more,small,low,good
45,med,low,5more,more,big,med,good
45,low,high,3,more,big,high,good
45,vhigh,med,2,more,med,high,vgood
45,vhigh,vhigh,3,more,small,low,vgood
45,med,low,5more,more,big,med,vgood
45,low,high,3,more,big,high,vgood
46,high,med,4,4,med,high,acc
46,vhigh,vhigh,3,more,small,med,acc
46,low,low,4,more,big,med,acc
46,low,low,3,4,big,high,acc
46,high,med,4,4,med,high,unacc
46,vhigh,vhigh,3,more,small,med,unacc
46,low,low,4,more,big,med,unacc
46,low,low,3,4,big,high,unacc
46,high,med,4,4,med,high,good
46,vhigh,vhigh,3,more,small,med,good
46,low,low,4,more,big,med,good
46,low,low,3,4,big,high,good
46,high,med,4,4,med,high,vgood
46,vhigh,vhigh,3,more,small,med,vgood
46,low,low,4,more,big,med,vgood
46,low,low,3,4,big,high,vgood
47,low,high,3,more,med,high,vgood
47,med,low,3,more,big,med,vgood
47,low,high,3,more,med,high,good
47,med,low,3,more,big,med,good
48,low,low,5more,4,big,high,vgood
48,low,med,4,4,small,high,vgood
48,vhigh,low,3,4,big,high,vgood
48,low,low,5more,4,big,high,good
48,low,med,4,4,small,high,good
48,vhigh,low,3,4,big,high,good
48,low,low,5more,4,big,high,acc
48,low,med,4,4,small,high,acc
48,vhigh,low,3,4,big,high,acc
49,vhigh,vhigh,3,more,med,med,unacc
50,med,low,5more,4,small,med,acc
50,vhigh,vhigh,3,more,med,high,acc
50,low,med,4,more,big,med,acc
50,med,low,5more,4,small,med,unacc
50,vhigh,vhigh,3,more,med,high,unacc
50,low,med,4,more,big,med,unacc
50,med,low,5more,4,small,med,good
50,vhigh,vhigh,3,more,med,high,good
50,low,med,4,more,big,med,good
51,med,med,2,4,big,high,vgood
51,vhigh,vhigh,3,more,big,low,vgood
51,low,low,4,4,big,med,vgood
51,med,med,2,4,big,high,unacc
51,vhigh,vhigh,3,more,big,low,unacc
51,low,low,4,4,big,med,unacc
51,med,med,2,4,big,high,good
51,vhigh,vhigh,3,more,big,low,good
51,low,low,4,4,big,med,good
52,med,med,2,4,big,high,vgood
52,vhigh,vhigh,3,more,big,med,vgood
52,low,med,3,4,big,med,vgood
52,vhigh,med,5more,4,big,med,vgood
52,med,med,2,4,big,high,unacc
52,vhigh,vhigh,3,more,big,med,unacc
52,low,med,3,4,big,med,unacc
52,vhigh,med,5more,4,big,med,unacc
52,med,med,2,4,big,high,good
52,vhigh,vhigh,3,more,big,med,good
52,low,med,3,4,big,med,good
52,vhigh,med,5more,4,big,med,good
52,med,med,2,4,big,high,acc
52,vhigh,vhigh,3,more,big,med,acc
52,low,med,3,4,big,med,acc
52,vhigh,med,5more,4,big,med,acc
53,low,med,4,more,med,med,good
54,vhigh,vhigh,4,2,small,low,unacc
54,med,low,4,more,med,high,unacc
54,vhigh,vhigh,4,2,small,low,vgood
54,med,low,4,more,med,high,vgood
55,vhigh,vhigh,4,2,small,med,unacc
55,low,vhigh,4,more,big,med,unacc
55,vhigh,vhigh,4,2,small,med,acc
55,low,vhigh,4,more,big,med,acc
56,vhigh,vhigh,4,2,small,high,unacc
56,low,vhigh,5more,4,small,high,unacc
56,low,low,2,4,small,high,unacc
56,low,high,3,more,big,high,unacc
56,vhigh,vhigh,4,2,small,high,acc
56,low,vhigh,5more,4,small,high,acc
56,low,low,2,4,small,high,acc
56,low,high,3,more,big,high,acc
56,vhigh,vhigh,4,2,small,high,good
56,low,vhigh,5more,4,small,high,good
56,low,low,2,4,small,high,good
56,low,high,3,more,big,high,good
56,vhigh,vhigh,4,2,small,high,vgood
56,low,vhigh,5more,4,small,high,vgood
56,low,low,2,4,small,high,vgood
56,low,high,3,more,big,high,vgood
57,med,vhigh,5more,more,big,high,acc
58,vhigh,vhigh,4,2,med,med,unacc
58,low,low,5more,more,med,med,unacc
58,high,high,5more,more,big,med,unacc
58,med,low,3,more,big,high,unacc
58,vhigh,vhigh,4,2,med,med,good
58,low,low,5more,more,med,med,good
58,high,high,5more,more,big,med,good
58,med,low,3,more,big,high,good
58,vhigh,vhigh,4,2,med,med,acc
58,low,low,5more,more,med,med,acc
58,high,high,5more,more,big,med,acc
58,med,low,3,more,big,high,acc
58,vhigh,vhigh,4,2,med,med,vgood
58,low,low,5more,more,med,med,vgood
58,high,high,5more,more,big,med,vgood
58,med,low,3,more,big,high,vgood
59,vhigh,vhigh,4,2,med,high,unacc
59,high,low,5more,4,med,med,unacc
59,med,low,2,4,small,high,unacc
59,vhigh,vhigh,4,2,med,high,acc
59,high,low,5more,4,med,med,acc
59,med,low,2,4,small,high,acc
59,vhigh,vhigh,4,2,med,high,good
59,high,low,5more,4,med,med,good
59,med,low,2,4,small,high,good
60,vhigh,vhigh,4,2,big,low,unacc
60,med,low,4,4,big,med,unacc
60,med,vhigh,5more,more,small,high,unacc
60,vhigh,vhigh,4,2,big,low,good
60,med,low,4,4,big,med,good
60,med,vhigh,5more,more,small,high,good
60,vhigh,vhigh,4,2,big,low,acc
60,med,low,4,4,big,med,acc
60,med,vhigh,5more,more,small,high,acc
61,vhigh,vhigh,4,2,big,med,unacc
61,med,high,4,more,med,med,unacc
61,low,low,3,4,small,high,unacc
61,med,low,4,4,big,high,unacc
61,vhigh,vhigh,4,2,big,med,acc
61,med,high,4,more,med,med,acc
61,low,low,3,4,small,high,acc
61,med,low,4,4,big,high,acc
61,vhigh,vhigh,4,2,big,med,good
61,med,high,4,more,med,med,good
61,low,low,3,4,small,high,good
61,med,low,4,4,big,high,good
61,vhigh,vhigh,4,2,big,med,vgood
61,med,high,4,more,med,med,vgood
61,low,low,3,4,small,high,vgood
61,med,low,4,4,big,high,vgood
62,vhigh,vhigh,4,2,big,high,unacc
62,med,med,2,4,big,high,unacc
62,low,vhigh,3,4,small,high,unacc
62,vhigh,vhigh,4,2,big,high,vgood
62,med,med,2,4,big,high,vgood
62,low,vhigh,3,4,small,high,vgood
62,vhigh,vhigh,4,2,big,high,acc
62,med,med,2,4,big,high,acc
62,low,vhigh,3,4,small,high,acc
63,vhigh,vhigh,4,4,small,low,unacc
64,vhigh,vhigh,4,4,small,med,unacc
64,low,vhigh,2,4,big,high,unacc
64,vhigh,vhigh,4,4,small,med,acc
64,low,vhigh,2,4,big,high,acc
65,vhigh,low,5more,4,big,high,acc
65,vhigh,vhigh,4,4,small,high,acc
65,med,med,4,more,med,high,acc
65,vhigh,low,5more,4,big,high,unacc
65,vhigh,vhigh,4,4,small,high,unacc
65,med,med,4,more,med,high,unacc
65,vhigh,low,5more,4,big,high,vgood
65,vhigh,vhigh,4,4,small,high,vgood
65,med,med,4,more,med,high,vgood
66,vhigh,vhigh,4,4,med,low,unacc
66,low,low,4,more,big,high,unacc
66,med,high,3,more,med,high,unacc
66,low,med,4,more,small,high,unacc
66,vhigh,vhigh,4,4,med,low,vgood
66,low,low,4,more,big,high,vgood
66,med,high,3,more,med,high,vgood
66,low,med,4,more,small,high,vgood
66,vhigh,vhigh,4,4,med,low,acc
66,low,low,4,more,big,high,acc
66,med,high,3,more,med,high,acc
66,low,med,4,more,small,high,acc
66,vhigh,vhigh,4,4,med,low,good
66,low,low,4,more,big,high,good
66,med,high,3,more,med,high,good
66,low,med,4,more,small,high,good
67,high,high,3,4,small,high,acc
67,low,low,4,4,big,high,acc
67,low,low,4,more,med,med,acc
67,vhigh,vhigh,4,4,med,med,acc
67,high,high,3,4,small,high,vgood
67,low,low,4,4,big,high,vgood
67,low,low,4,more,med,med,vgood
67,vhigh,vhigh,4,4,med,med,vgood
67,high,high,3,4,small,high,good
67,low,low,4,4,big,high,good
67,low,low,4,more,med,med,good
67,vhigh,vhigh,4,4,med,med,good
67,high,high,3,4,small,high,unacc
67,low,low,4,4,big,high,unacc
67,low,low,4,more,med,med,unacc
67,vhigh,vhigh,4,4,med,med,unacc
68,vhigh,vhigh,4,4,med,high,unacc
68,high,med,5more,4,med,high,unacc
68,med,low,5more,4,med,high,unacc
68,vhigh,vhigh,4,4,med,high,acc
68,high,med,5more,4,med,high,acc
68,med,low,5more,4,med,high,acc
68,vhigh,vhigh,4,4,med,high,vgood
68,high,med,5more,4,med,high,vgood
68,med,low,5more,4,med,high,vgood
69,low,med,5more,4,med,med,good
69,med,low,4,4,med,high,good
69,low,med,5more,4,med,med,vgood
69,med,low,4,4,med,high,vgood
70,low,med,3,more,small,high,good
70,vhigh,med,5more,more,small,high,good
70,low,med,3,more,small,high,acc
70,vhigh,med,5more,more,small,high,acc
71,low,high,3,more,big,high,vgood
71,vhigh,vhigh,4,4,big,high,vgood
71,med,vhigh,4,4,med,high,vgood
71,low,high,3,more,big,high,unacc
71,vhigh,vhigh,4,4,big,high,unacc
71,med,vhigh,4,4,med,high,unacc
71,low,high,3,more,big,high,acc
71,vhigh,vhigh,4,4,big,high,acc
71,med,vhigh,4,4,med,high,acc
72,low,med,3,more,big,med,good
72,vhigh,low,4,4,med,high,good
72,vhigh,vhigh,4,more,small,low,good
72,low,med,3,more,big,med,acc
72,vhigh,low,4,4,med,high,acc
72,vhigh,vhigh,4,more,small,low,acc
72,low,med,3,more,big,med,unacc
72,vhigh,low,4,4,med,high,unacc
72,vhigh,vhigh,4,more,small,low,unacc
73,med,low,4,4,big,high,vgood
73,vhigh,vhigh,4,more,small,med,vgood
73,low,med,3,4,small,high,vgood
73,med,vhigh,5more,4,med,med,vgood
73,med,low,4,4,big,high,unacc
73,vhigh,vhigh,4,more,small,med,unacc
73,low,med,3,4,small,high,unacc
73,med,vhigh,5more,4,med,med,unacc
73,med,low,4,4,big,high,good
73,vhigh,vhigh,4,more,small,med,good
73,low,med,3,4,small,high,good
73,med,vhigh,5more,4,med,med,good
73,med,low,4,4,big,high,acc
73,vhigh,vhigh,4,more,small,med,acc
73,low,med,3,4,small,high,acc
73,med,vhigh,5more,4,med,med,acc
74,high,med,2,4,big,high,acc
74,low,med,5more,4,big,high,acc
74,med,low,3,more,med,med,acc
74,vhigh,vhigh,4,more,small,high,acc
74,high,med,2,4,big,high,vgood
74,low,med,5more,4,big,high,vgood
74,med,low,3,more,med,med,vgood
74,vhigh,vhigh,4,more,small,high,vgood
74,high,med,2,4,big,high,good
74,low,med,5more,4,big,high,good
74,med,low,3,more,med,med,good
74,vhigh,vhigh,4,more,small,high,good
74,high,med,2,4,big,high,unacc
74,low,med,5more,4,big,high,unacc
74,med,low,3,more,med,med,unacc
74,vhigh,vhigh,4,more,small,high,unacc
75,low,high,5more,4,med,med,acc
75,vhigh,vhigh,4,more,med,low,acc
75,low,med,2,more,big,med,acc
75,low,high,5more,4,med,med,unacc
75,vhigh,vhigh,4,more,med,low,unacc
75,low,med,2,more,big,med,unacc
75,low,high,5more,4,med,med,good
75,vhigh,vhigh,4,more,med,low,good
75,low,med,2,more,big,med,good
76,low,med,2,4,big,high,vgood
76,low,vhigh,4,more,small,high,vgood
76,low,med,2,4,big,high,acc
76,low,vhigh,4,more,small,high,acc
77,low,high,5more,4,big,high,vgood
77,low,low,3,4,small,high,vgood
77,low,high,5more,4,big,high,good
77,low,low,3,4,small,high,good
78,low,high,3,4,big,high,vgood
78,vhigh,vhigh,4,more,big,low,vgood
78,med,low,3,4,small,med,vgood
78,med,low,3,4,med,high,vgood
78,low,high,3,4,big,high,unacc
78,vhigh,vhigh,4,more,big,low,unacc
78,med,low,3,4,small,med,unacc
78,med,low,3,4,med,high,unacc
78,low,high,3,4,big,high,acc
78,vhigh,vhigh,4,more,big,low,acc
78,med,low,3,4,small,med,acc
78,med,low,3,4,med,high,acc
78,low,high,3,4,big,high,good
78,vhigh,vhigh,4,more,big,low,good
78,med,low,3,4,small,med,good
78,med,low,3,4,med,high,good
79,low,med,2,more,big,med,good
79,vhigh,vhigh,4,more,big,med,good
79,med,vhigh,3,4,med,high,good
79,low,med,2,more,big,med,unacc
79,vhigh,vhigh,4,more,big,med,unacc
79,med,vhigh,3,4,med,high,unacc
79,low,med,2,more,big,med,acc
79,vhigh,vhigh,4,more,big,med,acc
79,med,vhigh,3,4,med,high,acc
80,high,low,5more,more,med,med,acc
80,med,low,3,more,big,med,acc
80,high,low,5more,more,med,med,good
80,med,low,3,more,big,med,good
81,vhigh,vhigh,5more,2,small,low,unacc
81,vhigh,med,3,4,big,med,unacc
81,low,high,5more,4,big,high,unacc
81,vhigh,vhigh,5more,2,small,low,acc
81,vhigh,med,3,4,big,med,acc
81,low,high,5more,4,big,high,acc
81,vhigh,vhigh,5more,2,small,low,vgood
81,vhigh,med,3,4,big,med,vgood
81,low,high,5more,4,big,high,vgood
82,vhigh,vhigh,5more,2,small,med,unacc
83,vhigh,vhigh,5more,2,small,high,unacc
83,low,low,4,4,big,high,unacc
83,vhigh,vhigh,5more,2,small,high,vgood
83,low,low,4,4,big,high,vgood
84,low,med,2,4,big,med,good
84,low,high,4,more,big,high,good
84,vhigh,vhigh,5more,2,med,low,good
84,low,med,2,4,big,med,vgood
84,low,high,4,more,big,high,vgood
84,vhigh,vhigh,5more,2,med,low,vgood
